sa3_name16,sa3_code16,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p
Brighton,60101,59,73,135,640,607,1239,258,234,491,69,47,115,965,884,1852,364,322,688,189,150,345,23,15,42,576,491,1068,78,64,139,11,16,31,47,35,82,39,76,111,3,0,3,172,200,366,38,81,116,14,23,37,11,9,22,22,69,90,0,0,0,87,180,271,8,12,26,10,41,57,0,0,0,22,59,82,647,693,1337,4,9,15,2524,2601,5120
Hobart - North East,60102,200,193,392,1718,1553,3273,531,569,1098,198,234,427,2446,2350,4800,889,778,1670,493,481,974,205,214,419,1590,1475,3064,128,134,267,39,100,139,159,85,241,139,211,347,3,3,9,472,530,1000,311,367,675,122,156,280,40,53,97,199,426,634,4,4,9,682,1006,1689,40,51,90,88,119,208,3,6,5,125,172,303,1609,1368,2976,59,90,150,7180,7193,14371
Hobart - North West,60103,183,196,384,1595,1527,3122,650,642,1292,113,97,208,2358,2269,4619,956,937,1889,453,475,921,98,94,190,1503,1500,3005,189,206,394,95,149,238,155,108,260,170,258,423,4,9,14,609,724,1335,264,280,537,142,145,291,33,66,98,158,318,473,0,3,3,598,811,1406,57,69,125,88,179,269,4,0,9,155,248,401,1849,2081,3933,57,89,143,7306,7908,15217
Hobart - South and West,60104,147,137,286,1119,992,2113,262,294,561,325,300,624,1715,1584,3294,698,605,1305,206,258,465,326,316,641,1227,1179,2406,85,72,162,24,37,69,78,41,121,112,144,261,0,3,3,306,306,611,232,269,497,97,168,258,31,56,91,168,356,519,0,3,3,527,852,1376,23,35,61,41,98,143,4,0,3,66,137,205,662,712,1372,58,107,163,4710,4999,9706
Hobart Inner,60105,213,194,409,1297,1108,2403,198,255,457,363,365,728,1859,1727,3580,658,535,1194,207,282,482,586,578,1159,1447,1393,2841,105,107,210,111,133,245,98,57,149,137,196,333,3,8,7,454,498,949,1431,1510,2940,861,803,1665,112,124,233,408,654,1067,9,10,17,2814,3099,5911,37,51,84,82,123,202,3,0,3,117,179,296,1846,1736,3589,492,602,1093,9250,9422,18670
Sorell - Dodges Ferry,60106,59,56,115,526,503,1032,153,149,300,28,24,56,709,672,1379,308,263,566,116,163,279,35,38,72,459,462,922,37,50,89,9,32,37,54,28,85,34,68,104,4,0,4,140,173,315,47,70,121,14,28,44,7,18,25,41,108,148,0,0,0,107,227,334,8,12,22,17,39,53,0,0,0,26,48,78,494,555,1054,12,21,37,2007,2221,4230
Launceston,60201,361,326,691,2557,2362,4919,533,564,1095,458,447,899,3545,3373,6917,1501,1457,2965,471,462,932,558,558,1120,2529,2475,5007,299,264,554,167,228,394,204,192,400,228,381,611,5,7,16,904,1071,1972,1020,1014,2034,475,446,919,72,105,174,283,602,886,6,7,15,1856,2170,4021,78,73,146,121,184,308,0,3,0,197,263,460,2802,2997,5803,267,263,524,12454,12932,25389
Meander Valley - West Tamar,60202,73,66,141,767,682,1449,124,110,231,98,101,197,990,888,1881,414,420,838,119,125,245,109,109,221,646,659,1302,78,62,138,17,47,59,55,28,80,55,109,163,8,5,7,208,251,451,32,66,99,16,38,51,8,13,16,36,118,158,0,0,0,98,230,325,18,21,46,16,46,61,4,0,7,43,71,110,831,862,1694,18,28,43,2907,3048,5953
North East,60203,146,111,253,1253,1269,2522,138,131,274,93,76,171,1490,1475,2961,698,630,1333,127,119,245,103,125,222,926,870,1799,92,121,211,12,42,57,72,60,131,69,153,225,0,0,3,248,379,624,55,95,148,34,72,103,9,29,39,52,176,225,3,0,7,154,364,521,31,41,71,25,61,93,5,5,8,60,103,162,1605,1534,3145,49,46,91,4679,4890,9567
Central Highlands (Tas.),60301,29,31,63,396,345,738,88,100,192,20,28,47,500,472,972,215,196,413,103,85,190,16,28,43,339,311,652,33,47,78,3,12,10,19,12,32,25,44,70,0,0,0,84,117,195,13,28,42,5,11,22,3,4,6,16,54,72,0,0,0,40,97,135,11,16,21,14,20,35,0,0,0,23,34,64,532,459,992,9,14,30,1560,1541,3099
Huon - Bruny Island,60302,66,64,127,529,498,1024,176,170,343,102,95,199,811,763,1570,366,305,672,107,104,212,67,71,141,539,478,1022,68,58,127,13,25,36,38,27,59,45,84,130,0,3,3,164,195,360,49,60,107,29,73,101,5,8,17,53,122,174,0,3,3,135,267,399,24,23,43,23,50,72,0,0,3,39,80,119,730,728,1455,33,33,68,2517,2608,5119
South East Coast,60303,23,15,34,195,193,386,0,3,0,3,6,8,205,199,396,89,87,176,4,3,10,8,5,13,101,94,198,4,9,16,7,3,9,11,4,18,10,17,25,0,0,0,39,31,67,3,6,5,5,14,14,0,3,4,8,13,23,0,0,0,16,40,51,3,7,14,3,13,17,0,0,0,6,18,27,353,376,731,65,71,142,803,839,1647
Holdfast Bay,40301,181,160,340,606,600,1201,236,247,482,277,288,563,1116,1132,2249,363,343,699,334,265,599,197,166,360,891,773,1665,49,30,78,36,53,94,82,45,125,91,155,244,0,0,5,261,282,545,432,571,1006,158,218,372,55,68,124,152,265,412,4,4,7,806,1123,1927,27,20,50,53,83,133,0,3,0,79,109,188,916,1060,1973,132,189,323,4377,4830,9205
Marion,40302,556,503,1063,2349,2291,4644,716,704,1416,441,426,875,3509,3424,6933,1373,1380,2753,549,525,1071,420,411,834,2342,2314,4659,157,164,321,151,256,402,198,100,301,309,431,737,5,8,13,820,957,1776,1305,1644,2953,704,780,1484,114,164,285,411,672,1083,3,15,16,2533,3278,5809,111,131,241,146,248,394,6,11,14,260,387,653,1763,2016,3780,352,485,836,12146,13368,25511
Burnie - Ulverstone,60401,175,134,308,1529,1468,2995,366,341,709,147,139,280,2043,1940,3986,959,975,1936,316,333,646,107,114,215,1384,1421,2805,180,208,385,37,82,117,123,87,214,116,179,293,3,3,6,456,558,1017,63,163,224,56,116,174,16,52,72,110,279,390,0,3,3,252,609,865,26,43,62,38,107,146,0,3,3,59,149,207,1632,1786,3417,52,44,97,6050,6639,12687
Devonport,60402,159,136,291,1503,1447,2952,325,299,623,151,155,308,1984,1897,3879,858,862,1724,262,248,509,107,85,197,1231,1195,2425,172,184,359,31,104,139,126,90,217,118,209,323,4,3,8,454,587,1038,57,116,172,39,93,125,11,21,38,107,197,306,0,3,6,208,436,642,25,45,69,39,94,140,3,4,4,73,141,215,1487,1602,3093,121,127,249,5708,6125,11829
West Coast,60403,55,64,120,522,480,996,214,190,399,93,86,181,830,753,1578,336,252,594,70,83,151,90,73,163,497,410,908,18,38,60,12,14,22,54,31,79,47,58,101,0,0,0,128,141,266,9,27,35,14,29,42,9,11,19,28,69,95,3,0,3,57,139,197,14,18,27,20,28,47,0,0,0,34,47,75,833,719,1556,48,24,69,2475,2304,4786
Darwin City,70101,127,131,253,547,509,1064,91,79,175,122,105,226,763,702,1460,373,360,738,57,44,103,91,100,192,524,509,1034,17,11,28,22,42,60,35,45,80,103,155,257,3,0,5,177,254,428,119,134,256,131,208,338,38,80,115,255,415,667,5,3,5,547,838,1388,18,30,48,56,139,201,3,0,3,78,177,255,3023,2169,5197,1420,1049,2466,6652,5819,12472
Darwin Suburbs,70102,435,402,845,1669,1562,3225,344,293,638,310,325,633,2322,2180,4500,1148,1050,2200,242,246,489,326,409,732,1711,1704,3417,39,43,80,48,58,107,72,56,125,172,284,462,4,6,8,341,443,781,412,465,870,386,489,874,95,130,229,415,805,1221,7,11,17,1316,1901,3213,62,65,128,133,262,388,3,11,15,198,336,530,3175,2956,6127,500,471,967,9991,10390,20382
Litchfield,70103,124,134,259,682,618,1301,116,89,201,159,151,310,960,851,1815,401,343,739,84,64,151,227,197,421,714,598,1310,16,12,24,6,9,22,71,36,109,82,96,176,4,3,12,182,156,342,49,55,105,27,57,85,21,38,63,66,209,268,4,0,3,160,361,525,11,4,23,41,70,106,0,3,6,58,83,138,3638,1428,5069,1027,109,1136,6864,3736,10601
Daly - Tiwi - West Arnhem,70203,150,159,308,606,554,1165,296,266,567,24,23,46,926,849,1776,281,269,550,135,127,265,32,25,55,450,419,873,22,22,38,7,16,24,3,11,13,19,42,60,4,0,4,51,84,139,3,9,15,15,34,49,3,8,11,50,74,124,3,0,3,74,126,201,21,13,31,15,15,28,0,0,0,34,34,68,1508,1288,2794,441,386,824,3634,3346,6985
East Arnhem,70204,162,158,315,726,646,1378,13,14,28,57,81,142,797,746,1545,488,468,952,0,10,9,43,61,104,540,533,1074,4,4,13,7,13,23,6,8,12,23,29,56,0,3,3,40,62,101,9,3,11,9,17,29,3,9,12,47,87,134,0,3,3,62,128,193,3,10,11,4,18,28,3,3,3,10,30,38,1172,887,2062,36,35,62,2820,2571,5390
Katherine,70205,197,190,384,941,831,1772,73,62,129,41,42,84,1052,933,1993,413,392,803,85,64,149,32,36,60,530,487,1021,7,3,13,10,8,18,16,23,36,35,61,98,0,0,0,71,99,162,6,16,24,20,43,64,9,30,38,65,141,212,3,0,7,106,236,341,19,12,24,19,38,60,0,0,0,34,53,88,2401,2024,4422,401,284,680,4794,4302,9093
Palmerston,70104,338,323,663,1235,1209,2441,245,212,461,298,289,585,1784,1705,3490,595,646,1239,224,237,459,199,219,420,1023,1096,2125,31,23,56,25,32,54,58,66,126,108,228,339,5,6,14,237,355,591,91,138,235,64,163,232,61,101,158,187,410,601,0,3,3,403,821,1227,19,27,48,57,167,230,4,0,4,84,200,279,1480,1508,2984,106,168,269,5444,6177,11618
Barkly,70202,51,46,97,328,308,634,0,3,3,7,3,18,341,319,652,121,86,214,3,0,3,3,12,13,127,96,226,3,0,3,0,0,6,6,5,14,16,18,35,0,0,0,39,22,55,4,7,7,3,4,12,3,3,7,23,47,71,0,0,0,31,62,95,0,3,3,11,15,27,0,0,3,12,16,30,417,295,712,55,64,120,1067,918,1990
Alice Springs,70201,301,313,615,1224,1190,2417,228,239,462,287,273,558,1738,1700,3436,444,402,848,236,187,423,416,358,774,1096,946,2047,23,16,39,17,25,44,59,45,102,104,199,299,6,5,7,211,286,499,26,85,109,76,128,207,13,44,64,210,508,720,4,3,8,335,764,1103,48,50,95,62,102,160,7,0,7,109,151,261,3572,3174,6750,1061,1316,2378,8424,8658,17081
Belconnen,80101,778,685,1463,2937,2663,5601,851,798,1658,348,331,680,4139,3798,7936,1764,1646,3402,669,640,1314,356,383,739,2791,2667,5457,162,156,313,169,205,379,298,199,497,356,530,884,4,0,9,989,1094,2085,2036,2277,4307,888,855,1748,195,222,419,808,1185,1993,13,17,28,3931,4564,8490,97,117,213,185,371,557,3,9,14,286,487,778,2245,2315,4558,439,692,1127,15601,16298,31894
Canberra East,80103,8,3,9,9,14,27,4,4,12,0,0,3,17,20,39,9,8,20,24,27,49,0,4,4,34,41,74,0,0,6,0,5,11,4,4,6,3,3,5,0,0,0,10,13,22,3,4,10,3,3,8,0,0,0,5,9,21,0,0,0,15,20,33,0,0,0,5,6,9,0,0,0,9,6,12,603,143,749,16,13,29,720,254,979
Gungahlin,80104,803,666,1466,2170,2071,4241,978,931,1907,507,528,1030,3652,3528,7183,1377,1375,2750,592,562,1151,432,403,843,2404,2338,4743,114,129,245,114,171,284,207,147,356,325,513,841,7,3,6,764,966,1732,1101,1251,2351,547,454,1008,123,183,309,660,879,1542,7,9,18,2440,2783,5222,77,91,165,139,316,461,0,3,3,219,405,625,1581,1551,3134,399,563,955,12256,12807,25059
North Canberra,80105,287,238,522,1071,1011,2078,218,204,424,172,194,368,1466,1409,2867,644,641,1291,174,220,398,215,222,440,1039,1090,2128,72,72,142,126,120,251,84,56,141,168,194,363,3,5,7,457,445,904,3470,3701,7173,1250,1002,2255,158,207,374,779,887,1665,12,13,18,5670,5817,11481,154,85,245,109,154,264,0,3,4,263,244,510,2738,2192,4924,621,668,1287,12529,12091,24620
South Canberra,80106,171,168,343,521,497,1018,129,140,271,228,221,449,878,853,1735,409,419,831,133,105,237,378,356,739,921,877,1805,22,23,37,42,36,78,36,31,62,78,109,180,0,3,3,169,200,364,291,301,595,169,186,357,57,56,112,412,552,964,3,0,3,935,1093,2025,13,22,32,48,79,122,3,0,6,62,99,159,1479,1343,2824,203,214,419,4814,4851,9671
Tuggeranong,80107,575,585,1165,2183,2080,4268,1259,1129,2383,342,357,700,3779,3568,7352,1722,1607,3327,1022,1018,2043,333,340,674,3078,2964,6048,141,156,294,70,108,178,374,230,597,314,512,828,5,4,6,903,1005,1903,712,904,1618,179,269,453,119,187,304,474,800,1281,5,5,11,1490,2172,3664,61,66,128,142,349,496,0,0,0,200,420,625,1735,1903,3638,179,248,424,11945,12870,24811
Weston Creek,80108,196,182,380,688,622,1306,288,283,564,168,124,292,1142,1031,2166,390,383,777,251,204,455,111,127,239,758,715,1474,33,21,52,20,32,56,66,42,104,70,104,180,0,0,0,184,206,389,174,211,389,96,100,202,32,28,59,149,249,402,0,0,0,456,599,1050,21,14,38,31,76,110,0,0,0,50,96,143,489,629,1119,79,107,190,3359,3558,6916
Woden Valley,80109,226,216,441,932,890,1820,432,358,791,200,167,367,1554,1418,2978,546,554,1101,390,275,662,231,273,503,1167,1100,2266,57,46,103,59,81,137,86,49,142,120,156,276,3,9,13,325,332,661,415,408,823,213,204,426,60,72,134,299,418,721,3,11,12,995,1110,2107,39,34,69,66,106,181,5,3,5,109,141,251,1065,1035,2097,135,232,364,5585,5585,11166
Molonglo,80110,50,34,83,146,119,273,41,45,87,23,22,49,217,194,404,38,63,100,35,24,59,13,14,27,81,100,184,3,4,12,3,9,13,14,3,14,23,32,53,0,0,0,45,55,94,43,57,102,27,28,57,7,27,35,79,76,153,0,0,0,157,186,346,4,6,11,10,20,35,0,0,0,17,34,42,157,174,328,23,39,64,741,806,1552
Urriarra - Namadgi,80111,7,0,7,23,9,30,8,11,23,0,3,8,32,23,62,3,17,25,5,3,7,3,0,3,15,21,36,0,0,0,0,0,0,4,3,11,3,5,7,0,0,0,10,10,17,3,8,8,3,4,8,3,0,3,0,6,8,0,0,0,11,12,25,3,4,9,0,3,4,0,0,0,3,3,7,28,31,59,6,4,7,114,111,218
Christmas Island,90101,21,9,27,61,63,130,0,0,0,0,0,0,61,63,129,40,57,91,0,0,0,0,0,3,38,58,98,0,0,0,3,3,3,0,0,3,6,0,4,0,0,0,8,8,15,0,0,0,0,3,3,0,0,0,6,7,15,0,0,0,12,8,15,0,0,5,0,10,10,0,0,0,3,11,11,435,133,567,12,16,29,591,302,893
Cocos (Keeling) Islands,90102,3,3,7,28,21,46,0,0,0,0,0,0,28,21,46,10,13,22,0,0,0,0,0,0,10,15,24,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,43,52,94,14,4,14,98,100,205
Jervis Bay,90103,6,3,10,10,10,18,0,0,0,0,0,0,12,10,19,12,8,25,0,0,3,0,0,0,15,15,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,5,0,0,0,4,0,3,0,0,0,6,3,14,13,0,14,0,0,0,0,0,0,10,0,15,69,53,122,5,4,4,126,83,211
Norfolk Island,90104,21,14,35,76,67,148,0,0,0,0,0,0,76,67,148,52,43,97,0,0,0,0,3,3,52,51,98,0,0,0,0,0,0,6,0,3,3,5,10,0,0,0,6,5,13,0,0,0,0,4,4,0,0,0,4,8,12,0,0,0,4,9,12,0,0,0,0,3,3,0,3,3,0,7,4,85,96,183,33,34,66,271,290,558
