lga_name_2016,lga_code_2016,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p
Charters Towers (R),32310,4562,4761,9327,1745,1168,2911,399,940,1342,171,154,324,258,183,442,2580,2448,5025,1504,1825,3336,10.0,7.5,8.8,56.6,51.4,53.9,50.7,47.5,49.1,42,46,87,30,70,104,178,433,609,149,318,470,1100,476,1578,57,69,125,55,97,151,1213,639,1856,4413,4503,8917,781,810,1587,3052,3029,6081,1875,2035,3912
Cherbourg (S),32330,374,433,807,44,36,77,18,23,46,3,5,8,79,56,129,140,118,258,211,283,489,56.4,47.5,50.0,37.4,27.3,32.0,17.4,14.8,16.2,0,0,0,0,4,5,0,0,0,9,26,37,40,36,75,7,7,18,3,3,4,54,50,97,540,569,1115,49,41,95,439,475,917,77,71,151
Cloncurry (S),32450,1397,1016,2416,815,386,1200,67,158,227,51,35,94,48,27,75,990,613,1594,204,254,450,4.8,4.4,4.7,70.9,60.3,66.0,66.8,57.0,63.0,27,18,44,3,17,24,86,118,201,58,76,126,349,108,455,11,18,29,17,15,26,379,135,513,1089,855,1942,310,253,566,642,535,1172,669,497,1162
Cook (S),32500,1901,1534,3439,656,456,1110,189,287,476,74,47,119,75,61,133,993,843,1838,554,469,1026,7.6,7.2,7.2,52.2,55.0,53.4,48.3,51.5,49.6,17,32,44,11,41,51,100,175,271,99,151,249,480,203,680,27,30,61,39,32,79,547,271,820,1504,1279,2777,351,347,692,1017,836,1856,733,701,1441
Croydon (S),32600,126,108,229,45,36,81,13,16,27,6,0,7,6,5,11,67,59,121,22,21,42,9.0,8.5,9.1,53.2,54.6,52.8,50.8,48.1,50.2,0,0,0,0,0,0,4,3,12,4,10,14,19,6,32,0,4,3,0,3,0,26,10,35,81,84,161,17,22,42,55,60,113,38,41,79
Weipa (T),37300,1550,1317,2866,1070,575,1644,104,256,358,71,72,151,26,25,57,1271,932,2205,113,250,365,2.0,2.7,2.6,82.0,70.8,76.9,80.3,68.6,75.1,27,35,57,14,35,50,93,195,292,81,107,195,652,206,857,11,16,28,27,25,48,688,248,930,1412,1226,2639,412,349,768,701,573,1271,970,896,1859
Western Downs (R),37310,13292,12767,26057,6438,3041,9478,1156,2938,4098,427,418,846,524,443,971,8549,6841,15391,3144,4555,7699,6.1,6.5,6.3,64.3,53.6,59.1,60.3,50.1,55.3,91,114,209,60,160,220,659,1307,1966,664,1020,1680,3295,1524,4824,153,259,410,178,285,465,3623,2074,5700,12136,11597,23737,2653,2692,5351,7846,7355,15203,6007,6058,12068
Whitsunday (R),37340,14283,13380,27657,6513,3818,10331,1440,2978,4410,472,466,938,639,480,1121,9067,7735,16800,3176,3956,7138,7.0,6.2,6.7,63.5,57.8,60.7,59.0,54.3,56.7,138,158,298,79,178,252,724,1303,2029,872,1245,2115,4240,1718,5957,170,270,437,223,315,535,4629,2301,6930,11792,10890,22686,2949,3088,6032,7321,6557,13878,6625,6723,13350
Gladstone (R),33360,24583,23119,47696,12208,5532,17743,2176,5598,7776,873,693,1564,1944,1422,3368,17197,13243,30441,5447,8168,13615,11.3,10.7,11.1,70.0,57.3,63.8,62.1,51.1,56.8,335,340,676,208,349,552,1495,2602,4103,1395,1753,3147,8705,3374,12085,280,487,771,353,442,802,9342,4309,13652,22924,21347,44274,5431,5658,11093,13821,12597,26417,13017,12875,25892
Gold Coast (C),33430,218486,236378,454866,96847,59354,156202,30906,60959,91869,5720,6757,12482,10110,9523,19635,143588,136598,280185,57523,81632,139158,7.0,7.0,7.0,65.7,57.8,61.6,61.1,53.8,57.3,7057,7553,14603,2301,4396,6696,23682,33433,57113,18376,28419,46798,56839,27637,84477,1679,3063,4737,3824,6334,10151,62341,37029,99366,190720,200906,391626,50308,54804,105110,109926,115114,225038,122110,132133,254248
Goondiwindi (R),33610,4156,4201,8356,2112,1082,3193,357,1014,1369,136,151,291,106,82,187,2713,2325,5043,1003,1456,2455,3.9,3.5,3.7,65.3,55.3,60.4,62.7,53.5,58.1,37,35,70,18,60,74,220,513,733,238,351,589,897,463,1361,33,65,99,71,83,152,1003,611,1611,3950,3904,7855,724,755,1480,2705,2620,5334,1687,1766,3454
Gympie (R),33620,19878,20624,40504,6409,3342,9750,2130,4486,6619,577,556,1133,1024,842,1871,10142,9227,19370,7970,9677,17649,10.1,9.1,9.7,51.0,44.7,47.8,45.9,40.7,43.2,201,219,412,133,295,429,872,1721,2592,1066,1944,3011,5650,2722,8368,292,413,709,360,478,831,6295,3608,9905,18443,18637,37076,3482,3736,7219,12365,12250,24615,8606,9276,17884
Hinchinbrook (S),33800,4669,4506,9178,2019,822,2841,353,1092,1448,145,129,273,163,129,289,2683,2169,4853,1613,1965,3578,6.1,5.9,6.0,57.5,48.1,52.9,53.9,45.3,49.7,27,39,66,22,36,58,201,350,557,166,290,455,1466,500,1971,27,75,106,47,80,126,1541,657,2195,4551,4308,8859,502,492,997,3498,3354,6852,1323,1294,2617
Hope Vale (S),33830,352,313,658,99,58,157,30,34,61,3,3,5,87,69,158,222,168,387,84,124,209,39.2,41.1,40.8,63.1,53.7,58.8,37.5,30.4,33.9,0,0,0,4,4,6,3,11,12,5,12,19,93,56,154,14,13,25,6,3,4,107,78,185,425,361,783,23,20,45,322,304,626,77,48,120
Ipswich (C),33960,72237,75578,147814,34327,20501,54830,8054,16844,24899,2131,2428,4558,4282,4032,8316,48796,43806,92597,18502,26801,45301,8.8,9.2,9.0,67.5,58.0,62.6,61.6,52.6,57.0,1360,1537,2902,645,1194,1837,4936,8053,12989,5124,7668,12790,19615,11063,30674,939,1424,2367,1218,1797,3010,21774,14281,36052,69326,71004,140328,16803,17575,34377,41432,41742,83168,39262,41882,81141
Isaac (R),33980,8699,6937,15641,5036,2134,7168,560,1559,2119,395,285,682,230,288,517,6229,4260,10490,848,1793,2635,3.7,6.8,4.9,71.6,61.4,67.1,68.9,57.3,63.7,88,77,167,60,88,147,483,824,1307,335,464,800,2628,1005,3633,87,148,238,98,158,254,2814,1311,4123,7261,6194,13455,1939,1932,3869,3777,2939,6717,4692,4490,9182
Kowanyama (S),34420,321,371,694,86,57,139,27,57,81,5,0,5,68,67,133,182,176,363,119,175,299,37.4,38.1,36.6,56.7,47.4,52.3,36.8,30.7,32.4,3,4,5,0,3,3,3,10,17,5,4,12,53,26,82,8,14,23,6,0,4,69,46,112,405,445,843,21,36,59,342,391,741,48,53,102
Livingstone (S),34530,14985,14434,29418,6044,3482,9526,1395,3539,4939,509,453,966,746,579,1331,8695,8055,16755,4849,5249,10099,8.6,7.2,7.9,58.0,55.8,57.0,53.0,51.8,52.5,248,265,514,169,290,452,879,1748,2624,818,1192,2011,4487,1800,6283,135,253,384,217,298,514,4831,2353,7184,13340,13226,26565,2591,2677,5264,8648,8352,16996,6627,6949,13574
Lockhart River (S),34570,242,252,493,54,41,88,26,36,66,20,9,30,18,17,33,120,103,224,85,114,194,15.0,16.5,14.7,49.6,40.9,45.4,41.3,34.1,37.3,3,0,3,0,3,4,5,9,15,5,8,10,32,16,45,3,4,8,3,7,10,39,19,64,286,308,592,24,23,46,238,259,494,44,54,97
Lockyer Valley (R),34580,15355,15710,31063,6184,3345,9525,1635,3623,5253,498,483,981,709,681,1393,9019,8132,17154,5112,6289,11398,7.9,8.4,8.1,58.7,51.8,55.2,54.2,47.4,50.7,209,261,467,82,218,294,770,1414,2185,775,1371,2141,3795,1919,5714,178,308,484,254,333,582,4218,2562,6779,14322,14271,28592,2779,3061,5834,9355,9186,18544,6751,7260,14008
Diamantina (S),32750,118,114,239,71,48,120,11,20,35,3,3,9,0,6,6,91,85,173,20,12,30,0.0,7.1,3.5,77.1,74.6,72.4,72.0,62.3,68.6,5,4,11,0,0,0,5,16,22,9,4,15,30,19,49,0,4,8,0,0,0,33,25,51,99,91,190,24,25,56,64,55,118,52,53,106
Clare and Gilbert Valleys (DC),41140,3649,3744,7394,1603,742,2340,437,1079,1518,143,142,291,78,71,151,2264,2034,4299,1145,1453,2598,3.4,3.5,3.5,62.0,54.3,58.1,59.8,52.4,56.1,52,62,119,39,94,132,298,475,775,241,370,610,917,474,1386,51,75,121,73,89,166,1040,634,1679,3608,3622,7230,509,529,1042,2547,2517,5064,1375,1467,2840
Logan (C),34590,114881,119965,234848,54015,31143,85156,13214,26535,39749,3415,3634,7052,6571,6254,12825,77224,67565,144780,30195,44744,74942,8.5,9.3,8.9,67.2,56.3,61.6,61.5,51.1,56.2,2061,2216,4274,834,1751,2584,7502,12154,19656,7437,11952,19389,31667,16641,48308,1292,2194,3487,1933,2945,4878,34895,21780,56672,112169,114643,226809,23425,24304,47731,71648,72270,143922,56564,59671,116235
Doomadgee (S),32770,399,466,862,65,68,130,63,67,124,5,10,24,36,31,68,173,172,344,207,273,477,20.8,18.0,19.8,43.4,36.9,39.9,33.3,31.1,32.3,3,0,10,3,8,4,14,13,23,7,11,23,29,21,50,11,14,27,8,3,13,50,36,83,621,611,1233,57,53,108,499,514,1011,101,86,192
Douglas (S),32810,4911,4867,9783,2001,1351,3350,630,1189,1818,181,160,336,178,114,298,2985,2814,5799,1269,1344,2614,6.0,4.1,5.1,60.8,57.8,59.3,57.3,55.5,56.3,93,99,193,40,103,137,371,607,980,364,479,845,1413,570,1977,63,77,136,108,131,234,1575,771,2348,4031,3781,7816,1013,1065,2080,2540,2295,4834,2295,2347,4647
Etheridge (S),33100,362,288,651,153,108,265,29,44,75,17,9,29,15,6,20,220,163,388,102,91,199,6.8,3.7,5.2,60.8,56.6,59.6,55.0,55.9,56.7,3,3,7,0,0,0,8,27,32,17,24,37,71,27,102,5,3,4,9,10,17,82,36,119,336,282,619,48,40,87,245,191,437,116,107,222
Flinders (S) (Qld),33200,643,625,1269,356,216,570,57,122,172,28,20,47,14,16,28,452,370,817,137,201,337,3.1,4.3,3.4,70.3,59.2,64.4,68.6,57.3,62.2,3,0,3,0,7,7,14,59,76,27,39,61,148,46,194,5,11,16,6,17,20,160,71,237,588,570,1159,104,104,211,418,374,790,238,259,495
Fraser Coast (R),33220,41025,43429,84458,11035,6961,18000,4083,8244,12327,961,992,1950,2504,1911,4411,18583,18107,36684,19109,22028,41142,13.5,10.6,12.0,45.3,41.7,43.4,39.2,37.3,38.2,459,536,990,313,684,998,1958,3720,5677,2443,3618,6058,11729,5667,17397,498,804,1296,741,1093,1834,12965,7565,20530,36520,38286,74806,7459,8311,15767,23806,24482,48283,18673,20594,39274
Winton (S),37400,494,455,949,236,177,412,33,69,106,26,19,49,19,9,24,318,274,591,122,135,264,6.0,3.3,4.1,64.4,60.2,62.3,59.7,58.2,59.7,0,7,12,6,3,13,20,46,67,10,38,49,107,52,159,12,3,14,4,10,16,123,71,193,441,409,851,85,62,151,330,292,617,162,170,326
Campbelltown (C) (SA),40910,20051,21912,41969,8429,4723,13149,2911,5786,8699,459,648,1102,910,803,1720,12702,11957,24663,6636,9211,15847,7.2,6.7,7.0,63.3,54.6,58.8,58.8,50.9,54.7,1155,1188,2345,349,573,921,3372,4026,7400,1680,2065,3748,3797,1843,5640,146,231,379,301,388,688,4243,2464,6711,19732,20998,40722,3073,3158,6232,13992,15088,29075,7996,8395,16385
Ceduna (DC),41010,1336,1365,2699,586,354,935,145,311,460,57,77,134,34,19,55,825,758,1582,331,417,749,4.1,2.5,3.5,61.8,55.5,58.6,59.0,54.4,56.7,7,12,21,3,21,23,52,129,183,48,121,169,289,140,433,15,22,41,16,26,45,317,188,508,1233,1219,2452,196,227,425,871,834,1700,465,514,983
Charles Sturt (C),41060,45770,48648,94420,19186,11583,30769,6251,11996,18244,1206,1501,2705,2247,1717,3962,28888,26791,55681,14587,19508,34092,7.8,6.4,7.1,63.1,55.1,59.0,58.2,51.6,54.8,1722,1887,3610,638,1078,1714,6138,7697,13838,3676,4429,8106,10024,4598,14623,436,608,1049,717,1014,1729,11178,6215,17391,42590,45049,87645,7547,7722,15264,29775,31465,61237,18729,19585,38313
Woorabinda (S),37550,300,339,637,63,54,122,22,34,55,11,3,17,21,20,43,122,113,237,157,198,351,17.2,17.7,18.1,40.7,33.3,37.2,32.0,26.8,30.5,0,0,4,4,0,3,5,12,19,9,17,21,27,27,52,13,10,18,0,3,3,37,39,72,385,417,805,53,57,114,302,331,632,89,94,187
Coober Pedy (DC),41330,823,661,1485,220,180,401,79,91,171,36,35,67,55,16,70,385,322,707,308,213,519,14.3,5.0,9.9,46.8,48.7,47.6,40.7,46.3,43.0,14,15,35,0,13,11,51,68,117,39,60,97,177,62,235,7,6,13,3,16,19,190,77,270,699,544,1241,115,101,213,503,344,842,260,256,518
Copper Coast (DC),41560,5858,6099,11951,1693,880,2573,721,1311,2032,186,168,353,262,219,477,2859,2579,5437,2538,3056,5592,9.2,8.5,8.8,48.8,42.3,45.5,44.4,38.7,41.5,32,41,73,34,78,112,214,446,660,256,455,715,1484,762,2243,65,122,188,139,139,284,1692,1024,2717,5496,5497,10994,855,895,1746,3802,3786,7592,2253,2353,4607
Elliston (DC),41750,451,393,842,201,92,298,53,112,164,14,16,34,14,13,24,293,230,522,134,144,271,4.8,5.7,4.6,65.0,58.5,62.0,59.4,56.0,58.9,3,0,5,4,9,14,23,52,73,18,34,51,85,54,140,6,6,16,12,9,20,100,68,172,476,404,879,38,41,77,366,311,677,126,105,230
Karoonda East Murray (DC),43080,462,424,891,232,91,328,36,100,135,9,6,16,10,11,26,290,214,506,141,188,335,3.4,5.1,5.1,62.8,50.5,56.8,60.0,46.5,53.8,0,0,3,0,3,3,14,40,56,15,33,52,95,48,135,8,14,22,3,11,11,99,76,170,485,445,931,39,34,78,374,334,709,135,124,259
Port Pirie City and Dists (M),46450,6921,7337,14254,2518,1152,3671,668,1768,2441,170,227,397,471,308,781,3835,3459,7292,2667,3420,6094,12.3,8.9,10.7,55.4,47.1,51.2,48.5,42.9,45.7,57,46,105,39,88,125,249,536,788,297,469,769,1851,920,2766,104,154,258,89,141,236,2046,1214,3261,6819,6978,13792,895,1030,1924,5041,5173,10216,2345,2556,4903
Wujal Wujal (S),37570,100,118,217,20,13,36,12,16,22,0,3,7,11,9,27,48,41,92,49,74,124,22.9,22.0,29.3,48.0,34.7,42.4,32.0,27.1,30.0,0,0,0,0,0,0,4,6,10,6,5,9,23,14,33,0,5,6,0,5,8,21,27,45,120,142,260,3,4,7,80,116,198,24,25,50
Yarrabah (S),37600,835,851,1687,92,105,197,40,54,100,22,20,46,175,112,285,335,292,626,481,530,1008,52.2,38.4,45.5,40.1,34.3,37.1,18.4,21.0,20.3,0,0,3,3,7,13,15,24,38,15,39,62,107,80,187,20,33,54,10,8,24,135,121,263,1169,1170,2342,55,61,113,1001,991,1993,140,138,280
No usual address (Qld),39499,6509,5179,11693,1106,640,1749,428,552,978,205,149,354,612,375,986,2360,1712,4074,2632,2514,5145,25.9,21.9,24.2,36.3,33.1,34.8,26.7,25.9,26.3,143,123,266,48,71,118,448,701,1147,327,452,779,1395,508,1898,48,67,113,95,112,202,1534,683,2221,1610,1127,2737,3598,3312,6907,1044,637,1684,4011,3681,7693
Migratory - Offshore - Shipping (Qld),39799,65,81,144,23,11,32,7,11,16,4,13,10,0,0,4,30,35,68,27,32,57,0.0,0.0,5.9,46.2,43.2,47.2,52.3,43.2,40.3,0,0,3,0,0,0,0,3,5,3,7,12,11,6,18,0,3,3,0,0,0,13,12,26,52,57,102,6,17,22,33,49,84,25,21,45
Grant (DC),42250,3692,2975,6665,1605,672,2274,392,967,1363,117,111,235,75,73,147,2192,1825,4016,1329,972,2308,3.4,4.0,3.7,59.4,61.3,60.3,57.3,58.8,58.1,28,34,68,27,50,82,142,276,412,157,261,418,924,408,1335,47,73,122,76,78,157,1044,564,1610,3378,3051,6423,362,349,706,2558,2323,4881,972,918,1897
Loxton Waikerie (DC),43790,4711,4745,9462,2004,922,2924,505,1249,1759,149,164,312,144,104,249,2796,2442,5236,1615,2017,3635,5.2,4.3,4.8,59.4,51.5,55.3,56.4,49.2,52.8,24,42,71,36,74,109,190,407,595,256,427,677,1080,636,1722,47,92,145,78,87,166,1209,826,2034,4696,4647,9336,559,665,1219,3478,3390,6871,1512,1667,3179
Mallala (DC),43920,3636,3471,7108,1684,827,2507,440,924,1359,126,116,239,163,143,304,2408,2005,4411,978,1230,2214,6.8,7.1,6.9,66.2,57.8,62.1,61.9,53.8,57.8,20,32,55,13,39,52,98,232,327,168,285,448,1022,501,1526,36,80,110,65,81,142,1118,661,1780,3768,3530,7305,379,323,702,2812,2615,5430,1128,1111,2233
Adelaide (C),40070,10704,10146,20850,3285,2364,5651,1329,1797,3121,237,265,496,659,592,1255,5517,5020,10535,4060,4214,8282,11.9,11.8,11.9,51.5,49.5,50.5,45.3,43.6,44.5,1104,1080,2185,220,273,495,2477,2603,5083,817,873,1687,772,476,1248,77,71,142,145,156,294,991,700,1693,6302,6142,12438,3312,3422,6733,2820,2751,5574,6647,6696,13345
Adelaide Hills (DC),40120,15689,15915,31601,7346,3775,11117,2299,5017,7310,490,591,1081,463,436,898,10591,9820,20415,4317,5365,9683,4.4,4.4,4.4,67.5,61.7,64.6,64.6,59.0,61.7,1033,963,1992,398,649,1049,2665,3493,6158,1413,1901,3315,3449,1453,4897,103,192,302,288,415,703,3842,2064,5902,16194,16340,32537,1705,1824,3529,12321,12257,24578,5072,5334,10409
Alexandrina (DC),40220,10551,11279,21834,3487,1713,5201,1351,2880,4231,286,357,644,352,270,623,5482,5218,10701,4362,5329,9689,6.4,5.2,5.8,52.0,46.3,49.0,48.6,43.9,46.1,159,210,368,129,218,351,760,1221,1979,817,1238,2051,2919,1480,4400,123,215,344,237,350,589,3282,2048,5330,10006,10449,20452,1497,1695,3194,6856,7087,13946,4292,4704,8997
Anangu Pitjantjatjara (AC),40250,820,907,1724,138,156,296,62,110,173,19,21,47,92,83,174,312,375,688,395,403,801,29.5,22.1,25.3,38.0,41.3,39.9,26.7,31.6,29.9,12,10,23,3,5,15,24,59,80,12,30,39,72,42,116,13,14,22,21,10,32,98,64,166,889,946,1837,72,86,164,737,799,1534,152,160,315
Barossa (DC),40310,9367,9813,19183,4470,2130,6602,1163,2776,3935,302,321,625,270,265,533,6211,5489,11699,2632,3790,6422,4.3,4.8,4.6,66.3,55.9,61.0,63.4,53.3,58.2,165,192,360,97,195,298,753,1136,1887,722,1036,1760,2563,1267,3831,106,197,304,220,273,494,2891,1739,4625,9563,9754,19321,1226,1341,2568,6805,6879,13684,3490,3743,7237
Barunga West (DC),40430,1123,1075,2198,380,126,505,98,252,346,29,35,62,37,23,56,539,426,967,499,566,1061,6.9,5.4,5.8,48.0,39.6,44.0,45.1,38.4,41.5,4,11,18,6,9,18,28,94,118,49,94,148,276,99,378,10,10,21,8,28,35,289,141,430,1069,1000,2073,101,120,223,823,750,1573,297,331,630
Berri and Barmera (DC),40520,4252,4398,8652,1663,914,2573,447,1057,1504,128,113,238,198,122,315,2427,2208,4630,1536,1902,3430,8.2,5.5,6.8,57.1,50.2,53.5,52.6,47.4,49.9,43,41,84,22,56,79,211,373,582,196,368,562,1002,511,1516,52,92,148,84,111,194,1144,716,1860,4156,4188,8339,621,619,1241,3113,3086,6199,1469,1511,2978
Burnside (C),40700,16967,19450,36413,7161,4366,11527,2667,5094,7758,358,491,843,661,605,1270,10841,10551,21393,5412,8119,13531,6.1,5.7,5.9,63.9,54.2,58.8,60.0,51.2,55.3,2190,1809,4003,532,834,1363,4728,5267,9991,1437,2027,3464,1622,905,2528,75,151,228,211,397,612,1912,1451,3362,16425,18535,34961,2871,3141,6010,11157,12589,23749,7751,8627,16373
Cleve (DC),41190,723,683,1411,382,129,513,68,218,284,27,28,52,8,14,23,486,385,872,184,258,444,1.6,3.6,2.6,67.2,56.4,61.8,66.0,54.9,60.2,5,8,10,0,16,14,26,74,99,27,68,95,186,89,274,4,7,16,9,14,25,203,108,304,757,686,1441,83,84,161,575,535,1111,214,197,403
Kangaroo Island (DC),42750,1995,1933,3932,681,376,1057,346,609,954,73,86,157,81,40,118,1183,1105,2283,612,664,1280,6.8,3.6,5.2,59.3,57.2,58.1,55.1,55.4,55.1,39,44,85,12,52,64,146,233,382,103,172,278,484,177,665,27,42,72,32,57,88,544,275,821,1841,1769,3612,286,285,569,1359,1260,2620,673,706,1381
Flinders Ranges (DC),41830,684,710,1396,258,161,416,57,157,218,25,25,51,29,18,48,374,361,735,251,300,547,7.8,5.0,6.5,54.7,50.8,52.7,49.7,48.3,49.1,4,15,18,3,18,26,31,73,104,24,60,84,201,66,276,4,11,13,10,11,19,218,93,308,628,656,1286,81,95,174,477,488,964,223,231,454
Franklin Harbour (DC),41960,559,516,1072,216,85,301,60,131,186,20,25,48,27,11,40,322,251,572,172,210,388,8.4,4.4,7.0,57.6,48.6,53.4,53.0,46.7,49.9,0,3,6,0,9,10,7,35,41,22,39,61,154,65,218,6,13,18,5,10,16,169,87,253,534,487,1021,63,55,118,370,335,708,206,179,388
Gawler (T),42030,9045,9910,18955,3740,2066,5811,1000,2493,3489,252,293,544,488,413,901,5479,5270,10752,3045,4103,7143,8.9,7.8,8.4,60.6,53.2,56.7,55.2,49.0,51.9,145,143,289,87,151,242,549,905,1456,619,1026,1640,2373,1445,3816,133,215,349,144,255,403,2647,1919,4573,8463,9070,17534,1625,1836,3462,5554,5873,11425,4149,4663,8811
Goyder (DC),42110,1754,1674,3422,690,267,959,202,414,621,61,60,124,67,55,114,1019,792,1815,599,761,1361,6.6,6.9,6.3,58.1,47.3,53.0,54.3,44.3,49.8,11,22,30,12,21,30,70,147,213,87,173,257,397,190,592,21,44,72,32,42,70,456,275,727,1693,1666,3352,186,210,397,1293,1240,2528,523,552,1069
Holdfast Bay (C),42600,14390,16224,30609,5986,3819,9809,2107,4140,6249,352,513,865,564,438,1006,9013,8909,17924,4530,6381,10915,6.3,4.9,5.6,62.6,54.9,58.6,58.7,52.2,55.3,857,854,1713,336,531,871,2472,3284,5755,1503,1707,3213,2848,1349,4200,125,177,301,300,417,719,3276,1939,5217,12841,14229,27073,2476,2649,5127,8478,9523,18000,6479,7073,13554
Kimba (DC),43220,414,396,810,235,92,325,32,127,158,23,19,38,3,5,12,294,238,535,90,126,219,1.0,2.1,2.2,71.0,60.1,66.0,70.0,60.1,64.3,3,3,8,0,3,3,11,42,55,23,40,64,102,44,146,0,11,12,3,6,8,108,61,166,440,418,862,54,48,105,340,324,665,122,109,230
Kingston (DC) (SA),43360,994,985,1977,397,147,547,126,275,407,48,51,97,28,19,48,598,502,1101,321,405,733,4.7,3.8,4.4,60.2,51.0,55.7,57.4,48.0,53.2,8,6,15,6,20,24,29,85,114,43,79,119,219,115,330,15,15,34,20,31,47,254,161,415,976,904,1877,128,114,246,703,645,1348,354,344,701
Light (RegC),43650,5757,5785,11542,2965,1400,4363,717,1820,2537,167,240,406,216,196,412,4070,3647,7720,1398,1889,3283,5.3,5.4,5.3,70.7,63.0,66.9,66.9,59.8,63.3,75,78,154,52,119,168,358,645,1009,396,590,992,1690,916,2603,81,128,204,99,157,251,1863,1193,3060,6186,6069,12253,722,778,1504,4426,4222,8649,2176,2327,4501
Lower Eyre Peninsula (DC),43710,2368,2055,4417,994,457,1442,269,662,937,89,72,158,67,57,123,1418,1250,2660,784,665,1448,4.7,4.6,4.6,59.9,60.8,60.2,57.1,58.0,57.4,19,31,51,14,47,61,112,246,359,111,225,335,585,260,842,21,34,49,64,58,121,666,348,1015,2197,2048,4251,288,283,580,1530,1421,2943,829,810,1642
Maralinga Tjarutja (AC),44000,29,28,50,3,7,8,0,0,0,0,0,0,0,0,0,3,7,8,4,0,5,0.0,0.0,0.0,10.3,25.0,16.0,10.3,25.0,16.0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,6,0,7,8,9,13,4,7,6,4,7,7,3,7,13
Marion (C),44060,35218,39015,74231,15012,9131,24137,5048,10451,15498,911,1319,2228,1806,1356,3164,22778,22255,45031,10899,15077,25971,7.9,6.1,7.0,64.7,57.0,60.7,59.5,53.6,56.4,1501,1691,3192,544,959,1503,4810,6907,11715,3222,3877,7095,8235,3987,12220,399,536,940,576,870,1442,9208,5392,14601,33255,36089,69349,6055,6433,12486,22663,24441,47111,15211,16832,32045
Mid Murray (DC),44210,4030,3475,7505,1296,556,1851,406,835,1234,112,86,199,139,84,230,1959,1554,3516,1780,1661,3436,7.1,5.4,6.5,48.6,44.7,46.8,45.0,42.5,43.8,31,31,61,28,38,58,123,260,385,158,269,423,1056,427,1484,41,72,114,73,80,151,1166,574,1745,3530,3140,6675,485,480,962,2662,2320,4985,1218,1169,2389
Mitcham (C),44340,25431,27956,53383,10907,6311,17219,3947,8181,12127,632,944,1579,1114,847,1962,16603,16281,32888,7786,10595,18380,6.7,5.2,6.0,65.3,58.2,61.6,60.9,55.2,57.9,2234,2023,4254,728,1265,1998,5484,7005,12489,2405,2922,5329,4265,1967,6229,185,274,455,412,558,973,4858,2799,7658,25334,27253,52582,3676,4051,7733,18248,19474,37713,9878,11055,20931
Mount Barker (DC),44550,12788,13866,26654,6081,3141,9222,1881,4312,6196,416,540,958,482,420,898,8860,8416,17280,3266,4754,8017,5.4,5.0,5.2,69.3,60.7,64.8,65.5,57.6,61.4,364,423,795,198,383,573,1295,2165,3459,1143,1572,2713,3405,1830,5235,154,284,444,263,410,670,3818,2531,6347,12750,13447,26199,2271,2453,4728,8511,8827,17336,5755,6338,12092
